School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
State of California,49.88,50.87,0.99,38.65,39.73,1.08,0
Los Angeles Unified School District,42.31,43.9,1.59,31.62,33.47,1.85,0
Alfred B. Nobel Charter Middle,73.9,68.36,-5.54,58.06,58.05,-0.01,1
Middleton Street Elementary,34.16,30.9,-3.26,27.66,25.79,-1.87,1
San Diego Unified School District,56.35,56.85,0.5,47.16,48.47,1.31,0
Marshall Middle,80,78.15,-1.85,72.91,71.95,-0.96,1
Zamorano Elementary,53.95,55.43,1.48,51.79,49.9,-1.89,1
Elk Grove Unified School District,55.15,55.75,0.6,44.68,45.09,0.41,0
Katherine L. Albiani Middle,74.56,75.95,1.39,64.09,60.76,-3.33,1
Carroll Elementary,71.86,69.42,-2.44,65.93,64.14,-1.79,1
San Francisco Unified School District,55.26,56.28,1.02,50.59,50.55,-0.04,0
Giannini (A.P.) Middle,77.26,79.26,2,72.36,70.39,-1.97,1
Lilienthal (Claire) Elementary,82.97,81.63,-1.34,79.62,77.44,-2.18,1
Oakland Unified School District,33.12,33.3,0.18,26.81,27,0.19,0
Montera Middle,42.76,39.44,-3.32,29.04,23.52,-5.52,1
Greenleaf Elementary,39.64,27.25,-12.39,21.85,19.39,-2.46,1
Stockton Unified School District,26.56,30.28,3.72,19.77,20.85,1.08,0
Rio Calaveras Elementary,49.63,50.54,0.91,42.14,38.9,-3.24,1
Commodore Stockton Skills,46.54,44.62,-1.92,42.31,38.46,-3.85,1
Kern High School District,49.07,51.14,2.07,21.51,20.99,-0.52,0
Bakersfield High,47.78,52.55,4.77,25.39,19.35,-6.04,1
Ridgeview High,52.27,60.96,8.69,17.43,22.41,4.98,1
San Ramon Valley Unified School District,82.33,81.49,-0.84,77.3,77.51,0.21,0
Windemere Ranch Middle,90.58,87.91,-2.67,89.96,89.1,-0.86,1
Live Oak Elementary,85.74,86.2,0.46,85.37,87.1,1.73,1
Long Beach Unified School District,51.14,53.92,2.78,42.74,45.65,2.91,0
Fresno Unified School District,36.76,38,1.24,26.89,29.85,2.96,0
Corona-Norco Unified School District,61.39,61.23,-0.16,45.69,46.8,1.11,0
San Bernardino City Unified School District,40.1,40.16,0.06,26.24,27.29,1.05,0
Capistrano Unified School District,70.32,70.56,0.24,60.2,61.18,0.98,0
Santa Ana Unified School District,29.84,31.62,1.78,23.97,25.09,1.12,0
Sacramento City Unified School District,40.03,42.63,2.6,31.98,32.52,0.54,0
Garden Grove Unified School District,60,61,1,50.88,52.18,1.3,0
Clovis Unified School District,70.89,72.68,1.79,57.86,58.68,0.82,0
Riverside Unified School District,49.31,50.85,1.54,34.94,36.07,1.13,0
San Juan Unified School District,45.66,46.37,0.71,34.98,37.16,2.18,0
Bakersfield City School District,34.98,35.66,0.68,22.57,22.28,-0.29,0
Fontana Unified School District,38.44,41.1,2.66,23.22,25.55,2.33,0
Irvine Unified School District,77.29,77.59,0.3,74.09,73.63,-0.46,0
