make,model,vin,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,CR-V,7FARW1H5XJE054117,25999.0,2018,2234,4 Cyl,Red,Unspecified,Automatic,FWD,28,34,Used
Honda,Accord,1HGCV3F46KA012064,26520.0,2019,2708,4 Cyl,White,Unspecified,Automatic,FWD,48,48,Used
Honda,Civic,2HGFC2F58JH585473,17991.0,2018,10603,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,Civic,2HGFC3A57JH751060,21300.0,2018,16845,4 Cyl,White,Black,Manual,FWD,28,38,Used
Honda,Civic,19XFC2F76HE208338,13989.0,2017,84328,4 Cyl,Blue,Unspecified,Automatic,FWD,31,40,Used
Honda,Ridgeline,5FPYK3F82HB014675,34497.0,2017,15468,6 Cyl,Black,Black,Automatic,AWD,18,25,Used
Honda,Civic,2HGFC1F31GH656661,17417.0,2016,32486,4 Cyl,Red,Black,Automatic,FWD,31,42,Used
Honda,Civic,19XFC2F58HE204385,17247.0,2017,21867,4 Cyl,Gray,Black,Automatic,FWD,31,40,Used
Honda,HR-V,3CZRU6H58JM710996,21992.0,2018,8490,4 Cyl,Red,Black,Automatic,AWD,27,31,Used
Honda,Accord,1HGCR2F32HA137125,15500.0,2017,40006,4 Cyl,Gray,Unspecified,Automatic,FWD,26,34,Used
Honda,Accord,1HGCR2F35HA084212,15900.0,2017,32802,4 Cyl,White,Unspecified,Automatic,FWD,26,34,Used
Honda,Civic,2HGFC1F44HH641582,18991.0,2017,18675,4 Cyl,White,Black,Automatic,FWD,31,40,Used
Honda,CR-V,2HKRM3H44GH525595,14688.0,2016,68680,4 Cyl,Red,Black,Automatic,FWD,26,32,Used
Honda,Accord,1HGCR3F97HA011384,21999.0,2017,29327,6 Cyl,Unspecified,Unspecified,Automatic,FWD,21,32,Used
Honda,Civic,2HGFC2F57JH540136,16900.0,2018,15814,4 Cyl,White,Unspecified,Automatic,FWD,31,40,Used
Honda,Accord,1HGCV2F94JA043494,27818.0,2018,16402,4 Cyl,Black,Tan,Automatic,FWD,23,34,Used
Honda,Pilot,5FNYF5H57HB027496,27999.0,2017,25213,6 Cyl,Gray,Black,Automatic,FWD,19,27,Used
Honda,Fit,JHMGK5H79GS009963,13981.0,2016,33724,4 Cyl,Silver,Black,Automatic,FWD,32,37,Used
Honda,Civic,JHMFC1F31JX010472,18781.0,2018,18868,4 Cyl,Gray,Black,Automatic,FWD,32,42,Used
