Name,Grade 12 Enrollment,Number Tested,Number Meeting Current ELA Benchmark,Number Meeting Previous ELA Benchmark,Total Number Meeting ELA Benchmarks,Percent Meeting ELA Benchmarks,Number Meeting Current Math Benchmark,Number Meeting Previous Math Benchmark,Total Number Meeting Math Benchmarks,Percent Meeting Math Benchmarks
Alameda County,"16,638","9,029","5,407","1,376","6,783",75.12%,"4,033","1,337","5,370",59.48%
Alpine County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amador County,333,104,91,4,95,91.35%,74,3,77,74.04%
Butte County,"2,387",686,567,17,584,85.13%,442,15,457,66.62%
Calaveras County,491,132,120,1,121,91.67%,93,1,94,71.21%
Colusa County,353,115,85,1,86,74.78%,48,1,49,42.61%
Contra Costa County,"13,803","6,432","4,100",775,"4,875",75.79%,"2,897",744,"3,641",56.61%
Del Norte County,355,61,52,1,53,86.89%,42,1,43,70.49%
El Dorado County,"2,283","1,010",828,102,930,92.08%,736,90,826,81.78%
Fresno County,"14,163","7,217","4,189",126,"4,315",59.79%,"2,378",84,"2,462",34.11%
Glenn County,550,130,94,0,94,72.31%,45,0,45,34.62%
Humboldt County,"1,366",420,345,13,358,85.24%,253,13,266,63.33%
Imperial County,"2,826",902,633,6,639,70.84%,406,4,410,45.45%
Inyo County,"1,123",111,66,1,67,60.36%,42,1,43,38.74%
Kern County,"13,676","4,642","3,077",50,"3,127",67.36%,"1,912",46,"1,958",42.18%
Kings County,"2,027",620,425,4,429,69.19%,221,2,223,35.97%
Lake County,653,204,146,1,147,72.06%,87,1,88,43.14%
Lassen County,400,95,71,10,81,85.26%,45,6,51,53.68%
Los Angeles County,"116,764","62,312","36,647","3,413","40,060",64.29%,"22,854","3,128","25,982",41.70%
Madera County,"2,338",739,455,3,458,61.98%,233,1,234,31.66%
Marin County,"2,316","1,066",868,88,956,89.68%,680,75,755,70.83%
Mariposa County,140,38,37,0,37,97.37%,27,0,27,71.05%
Mendocino County,980,288,226,5,231,80.21%,153,1,154,53.47%
Merced County,"4,240","1,544","1,008",10,"1,018",65.93%,548,9,557,36.08%
Modoc County,109,37,33,1,34,91.89%,21,1,22,59.46%
Mono County,469,50,41,1,42,84.00%,29,0,29,58.00%
Monterey County,"5,289","1,957","1,290",21,"1,311",66.99%,786,17,803,41.03%
Napa County,"1,700",770,593,6,599,77.79%,395,5,400,51.95%
Nevada County,"2,093",281,253,12,265,94.31%,196,9,205,72.95%
Orange County,"40,379","19,640","13,071","2,580","15,651",79.69%,"9,785","2,386","12,171",61.97%
Placer County,"5,949","2,890","2,397",185,"2,582",89.34%,"1,894",153,"2,047",70.83%
Plumas County,176,69,60,0,60,86.96%,47,0,47,68.12%
Riverside County,"33,699","17,000","10,753",400,"11,153",65.61%,"6,417",317,"6,734",39.61%
Sacramento County,"19,401","8,037","5,579",307,"5,886",73.24%,"3,977",255,"4,232",52.66%
San Benito County,838,282,212,5,217,76.95%,141,2,143,50.71%
San Bernardino County,"32,139","13,261","8,973",223,"9,196",69.35%,"5,601",185,"5,786",43.63%
San Diego County,"41,794","18,152","13,101","1,572","14,673",80.83%,"9,505","1,452","10,957",60.36%
San Francisco County,"4,974","2,796","1,802",223,"2,025",72.42%,"1,510",214,"1,724",61.66%
San Joaquin County,"11,468","3,866","2,700",120,"2,820",72.94%,"1,750",100,"1,850",47.85%
San Luis Obispo County,"2,767","1,035",886,37,923,89.18%,670,30,700,67.63%
San Mateo County,"7,010","3,482","2,543",423,"2,966",85.18%,"2,061",393,"2,454",70.48%
Santa Barbara County,"5,124","1,778","1,293",86,"1,379",77.56%,"1,011",65,"1,076",60.52%
Santa Clara County,"20,324","10,831","6,863","2,146","9,009",83.18%,"5,457","2,089","7,546",69.67%
Santa Cruz County,"2,974","1,201",869,89,958,79.77%,643,69,712,59.28%
Shasta County,"2,129",573,503,14,517,90.23%,414,11,425,74.17%
Sierra County,25,13,*,*,*,*,*,*,*,*
Siskiyou County,438,167,138,2,140,83.83%,90,2,92,55.09%
Solano County,"4,553","1,793","1,354",52,"1,406",78.42%,932,45,977,54.49%
Sonoma County,"5,320","1,869","1,486",102,"1,588",84.97%,"1,115",98,"1,213",64.90%
Stanislaus County,"8,698","2,924","2,160",45,"2,205",75.41%,"1,312",31,"1,343",45.93%
Sutter County,"1,671",473,360,14,374,79.07%,260,9,269,56.87%
Tehama County,690,116,92,1,93,80.17%,59,1,60,51.72%
Trinity County,166,41,36,1,37,90.24%,19,0,19,46.34%
Tulare County,"6,996","2,194","1,453",32,"1,485",67.68%,861,20,881,40.15%
Tuolumne County,485,124,106,2,108,87.10%,89,2,91,73.39%
Ventura County,"10,951","4,149","3,148",297,"3,445",83.03%,"2,330",277,"2,607",62.83%
Yolo County,"2,153","1,023",772,87,859,83.97%,606,78,684,66.86%
Yuba County,"1,011",218,158,3,161,73.85%,122,2,124,56.88%
Statewide,"484,169","221,433","144,893","15,103","159,996",72.25%,"98,504","13,887","112,391",50.76%
