car_title,price,mileage,body,extcol,intcol,fuecon,engine,ftype,trans,dtype,doors
Used 2012 Honda Fit Sport,10999,"68,255",Hatchback,Milano Red,Black,City 27/Hwy 33/Comb 30 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,16985,"18,943",Sedan,Rallye Red,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V FWD Touring,26330,"21,003",Sport Utility,Silver,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Fit LX,16988,"9,085",Hatchback,Milano Red,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Fit EX,17488,"25,897",Hatchback,White Orchid Pearl,Black,City 32/Hwy 38/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda Civic EX-L Sedan,17888,"38,078",Sedan,White Orchid Pearl,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Fit LX,12973,"46,148",Hatchback,Mystic Yellow Pearl,,City 33/Hwy 41/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord LX Sedan,17988,"5,726",Sedan,White,Tan,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,18488,"8,336",Sedan,Red,Tan,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Fit Sport,18488,"4,400",Hatchback,Black,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda CR-V AWD EX-L,29988,350,Sport Utility,,,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2019 Honda Accord Touring Hybrid,31988,"5,023",Sedan,Platinum White Pearl,Black,Gas - City 48/Hwy 48/Comb 48 MPG,4-Cylinder,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2008 Honda Civic LX Sedan,6700,"110,611",Sedan,Nighthawk Black Pearl,Gray,City 25/Hwy 36/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2008 Honda Element 4WD EX,10000,"120,638",Sport Utility,Atomic Blue Metallic,Gray/Black,City 19/Hwy 24/Comb 21 MPG,4-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive,Two Door
Certified 2017 Honda Civic LX Sedan,16477,"35,699",Sedan,Cosmic Blue Metallic,Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,14688,"33,160",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda Civic EX Sedan,16888,"18,957",Sedan,Rallye Red,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Civic EX Sedan,16988,"41,488",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
