make,model,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,HR-V,21991.0,2018,8490,4 Cyl,Red,Black,Automatic,AWD,27,31,Used
Honda,CR-V,22999.0,2019,5452,4 Cyl,Unspecified,Unspecified,Automatic,AWD,25,31,Used
Honda,Civic,17393.0,2016,32486,4 Cyl,Red,Black,Automatic,FWD,31,42,Used
Honda,CR-V,25999.0,2018,2234,4 Cyl,Red,Unspecified,Automatic,FWD,28,34,Used
Honda,Civic,17989.0,2017,16288,4 Cyl,Blue,Black,Automatic,FWD,31,40,Used
Honda,Pilot,27999.0,2017,25213,6 Cyl,Gray,Black,Automatic,FWD,19,27,Used
Honda,Civic,17000.0,2017,24950,4 Cyl,Blue,Unspecified,Automatic,FWD,31,40,Used
Honda,Civic,18981.0,2019,18255,4 Cyl,White,Black,Automatic,FWD,29,37,Used
Honda,Accord,27818.0,2018,16402,4 Cyl,Black,Tan,Automatic,FWD,23,34,Used
Honda,Civic,16491.0,2016,43017,4 Cyl,Silver,Black,Automatic,FWD,31,42,Used
Honda,Civic,9999.0,2015,86063,4 Cyl,Black,Black,Automatic,FWD,29,37,Used
Honda,Civic,15741.0,2016,48050,4 Cyl,Red,Black,Automatic,FWD,30,40,Used
Honda,Ridgeline,26000.0,2017,53474,6 Cyl,White,Black,Automatic,AWD,18,25,Used
Honda,Civic,18781.0,2018,18868,4 Cyl,Gray,Black,Automatic,FWD,32,42,Used
Honda,Civic,16991.0,2017,20229,4 Cyl,Silver,Black,Automatic,FWD,31,40,Used
Honda,Accord,16500.0,2017,25993,4 Cyl,Brown,Unspecified,Automatic,FWD,26,34,Used
Honda,Pilot,31658.0,2017,22010,6 Cyl,Black,Black,Automatic,FWD,19,27,Used
Honda,Pilot,15597.0,2011,101000,6 Cyl,White,Gray,Automatic,4WD,16,22,Used
Honda,Civic,20995.0,2018,12556,4 Cyl,Gray,Gray,Manual,FWD,28,38,Used
Honda,Accord,18481.0,2017,41723,4 Cyl,White,Black,Automatic,FWD,26,34,Used
Honda,HR-V,21000.0,2019,4868,4 Cyl,Silver,Gray,Automatic,FWD,28,34,Used
Honda,Fit,4927.0,2008,141262,4 Cyl,Silver,Gray,Automatic,FWD,27,33,Used
Honda,Civic,16500.0,2018,15814,4 Cyl,White,Unspecified,Automatic,FWD,31,40,Used
